id	prueba	oraculo
C01_ENTRADA	TestAutoridadO3cConsumoNominalAliasClonYReuso|TestAutoridadO3cNulosYB5ReadOnly|TestAutoridadO3cConsumeHandoffO3bReal	B5 se consume una vez; alias clon reuso y nulos quedan cerrados
C02_AGREGADO	TestAutoridadO3cNulosYB5ReadOnly|TestAutoridadO3cRechazosFatales	agregado incompleto y estados distintos fallan cerrados
C03_SELLOS	TestRevalidacionO3cCasosAislados	registro generacion TID PPID PDEATHSIG lease y observador exactos
C04_CONTROL	TestRevalidacionO3cCasosAislados|TestRevalidacionO3cPrecedenciaYAusenciaP3	CONTROL nominal y negativos dominan sin CONT
C05_BOOTSTRAP	TestRevalidacionO3cCasosAislados|TestRevalidacionO3cPrecedenciaYAusenciaP3	bootstrap monotono no se reinicia y vencido produce cero CONT
C06_PIDFD	TestRevalidacionO3cCasosAislados|TestRevalidacionO3cPrecedenciaYAusenciaP3	dos pidfd y handle opaco sin cuarta referencia
C07_IDENTIDAD	TestRevalidacionO3cCasosAislados	terminalidad e identidad proc adversa retiran sin CONT
C08_LEASE	TestRevalidacionO3cLeaseInacreditableEsFatal|TestRevalidacionO3cPrecedenciaYAusenciaP3	cada syscall usa permiso separado y consolidacion inmediata
C09_MARCA	TestContO3cMarcaRechazaNoMonotonoYOverflow	marca monotona unica exacta 180 segundos y overflow cerrado
C10_ORDEN_CONT	TestContO3cOrdenLiteralYAusenciaP4	primer syscall tras marca es CONT sin intermedio
C11_CONT_PIDFD	TestContO3cCasosAislados|TestContO3cOrdenLiteralYAusenciaP4	SIGCONT de grupo por pidfd primario unico
C12_CONT_RAW	TestContO3cCasosAislados	error y EINTR no reintentan y conservan retorno raw
C13_BORDE_BOOTSTRAP	TestContO3cCasosAislados|TestContO3cOrdenLiteralYAusenciaP4	CONT comienza antes de bootstrap sin reloj intercalado
C14_POLL	TestObservacionO3cCasosAislados|TestObservacionO3cClasificacionCerrada	poll cero clasifica vacio POLLIN exacto o infraestructura
C15_PRECEDENCIA_RAW	TestObservacionO3cCasosAislados|TestObservacionO3cPrecedenciaCASYAusenciaP5	CONTROL precede observador y este precede pidfd
C16_UNION	TestObservacionO3cClasificacionCerrada|TestObservacionO3cPrecedenciaCASYAusenciaP5	discriminante cerrado unico e inmutable sin causa
C17_OWNERS	TestHandoffO3cP5CasosAislados|TestHandoffO3cP5OrdenYAusenciaP6	owner observador antes que lease; parcial CF sin rollback
C18_O4A_OPACO	TestHandoffO3cP5CasosAislados|TestHandoffO3cP5OrdenYAusenciaP6	agregado O4a opaco conserva custodia plazo raw y observacion
C19_RETIRADA	TestHandoffO3cP5CasosAislados|TestHandoffO3cP5SeleccionReserva|TestHandoffO3cP5OrdenYAusenciaP6	retirada pre CONT ordena terminalidad Wait ECHILD ESRCH cierres y liberacion
C20_POST_CONT	TestHandoffO3cP5CasosAislados|TestHandoffO3cP5OrdenYAusenciaP6	post CONT entrega o CF sin retirada cierre log ni retorno
C21_FRONTERA	TestAutoridadO3cSinEfectosPosteriores|TestContO3cOrdenLiteralYAusenciaP4|TestObservacionO3cPrecedenciaCASYAusenciaP5|TestHandoffO3cP5OrdenYAusenciaP6	sin espera causa TERMINAL ni APIs O4
C22_RESIDUOS	TestHandoffO3cP5CasosAislados	cien capturas por modo con FD hijos zombis grupos y temporales delta cero
