id	prueba	oraculo
O01_ENTRADA_LINEAL	TestConsumirAutoridadO3bNominalYAlias|TestConsumirAutoridadO3bRechazaEntradaYAutoridad	entrada A6 consumida una vez; nulo alias clon reuso cerrados
O02_CONTADOR	TestBarreraO3bRelecturaFinalDetectaSenal|TestHandoffO3bNegativosNoTransfieren	baseline signo registro TID y cambio final retiran
O03_CONTROL	TestBarreraO3bLimitesControl|TestBarreraO3bControlCerrado|TestBarreraO3bErrorLecturaRetira	CANCELAR EOF parcial framing presupuesto EINTR y error antes de ticket
O04_BOOTSTRAP	TestBarreraO3bBordeBootstrap|TestHandoffO3bNegativosNoTransfieren	borde un segundo y entrega con tiempo positivo sin reinicio
O05_PIDFD	TestBarreraO3bSinReferenciaFiableEsFatal|TestBarreraO3bRechazaCuartaReferenciaYRecursosCorruptos	res referencias exactas; una perdida retira y ambas fatalizan
O06_SIN_DUP	TestBarreraO3bNoDuplicaPidfd	cero F_DUPFD pidfd_open u os.NewFile pidfd
O07_TRAMA	TestTicketO3bByteExactoYUsoUnico|TestTicketO3bPreparacionCerrada	PID_SUPERVISOR ticket LF byte exacto y escritor unico
O08_PARCIALES	TestTicketO3bEscrituraParcialYEINTRAcotado|TestTicketO3bFalloCierraUnaVezSinSegundaEmision|TestTicketO3bCierreFallidoNoSeReintenta	parciales EINTR cero EPIPE y cierre convergen sin segunda emision
O09_AUTO_STOP	TestStopO3bAutoStopRealSinSenalGo|TestStopO3bMuestrasYPlazo	T estable posterior al cierre sin STOP emitido por Go
O10_PROC_STAT	TestParsearStatO3bAcotadoYAdversarial|TestIdentidadO3bRechazaCampos	comm adversarial limite 4096 cardinalidad signo cero overflow y campos exactos
O11_SONDA_GRUPO	TestStopO3bNegativosCeroTicket	pidfd señal cero con flag de grupo y errores cerrados
O12_PRECEDENCIAS	TestBarreraO3bPrecedenciasYNegativos|TestBarreraO3bRelecturaFinalDetectaControl	CONTROL señal bootstrap pidfd STOP identidad inventario en orden total
O13_TERMINALIDAD	TestIdentidadO3bExactaReal|TestIdentidadO3bRechazaCampos	terminalidad o cambio durante dos T nunca entrega
O14_RETIRADA	TestTicketO3bFalloCierraUnaVezSinSegundaEmision|TestTicketO3bCierreFallidoNoSeReintenta	fallo post ticket no reemite y cierre no se reintenta
O15_HANDOFF	TestHandoffO3bNegativosNoTransfieren	agregado conjunto sin writer; negativos no transfieren y origen queda cerrado
O16_O3C_CERRADO	TestHandoffO3bNominalConjuntoYConsumido	cero CONT finCaso180 y TERMINAL; O3c sin efectos
O17_BF	TestBarreraO3bSinReferenciaFiableEsFatal|TestHandoffO3bParticionIrreversibleEsFatal|TestHandoffO3bLeasePerdidaEsFatalPorAPI	BF 65 sin retorno rollback cierre log ni E/S
O18_CIEN_CAPTURAS	TestHandoffO3bNominalConjuntoYConsumido	cien capturas por modo con delta cero
