id	modo	comando	sha_target	estado	stdout_bytes	stderr_bytes	duracion_ms	fd_inicio	fd_fin	hijos_inicio	hijos_fin	zombis_inicio	zombis_fin	grupos_inicio	grupos_fin	temporales_inicio	temporales_fin	oraculo	resultado
O01_ENTRADA_LINEAL	normal	testbin -test.run=^(TestConsumirAutoridadO3bNominalYAlias|TestConsumirAutoridadO3bRechazaEntradaYAutoridad)$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	0	5	0	105	5	5	0	0	0	0	0	0	0	0	entrada A6 consumida una vez; nulo alias clon reuso cerrados	GO
O02_CONTADOR	normal	testbin -test.run=^(TestBarreraO3bRelecturaFinalDetectaSenal|TestHandoffO3bNegativosNoTransfieren)$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	0	5	0	405	5	5	0	0	0	0	0	0	0	0	baseline signo registro TID y cambio final retiran	GO
O03_CONTROL	normal	testbin -test.run=^(TestBarreraO3bLimitesControl|TestBarreraO3bControlCerrado|TestBarreraO3bErrorLecturaRetira)$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	0	5	0	105	5	5	0	0	0	0	0	0	0	0	CANCELAR EOF parcial framing presupuesto EINTR y error antes de ticket	GO
O04_BOOTSTRAP	normal	testbin -test.run=^(TestBarreraO3bBordeBootstrap|TestHandoffO3bNegativosNoTransfieren)$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	0	5	0	407	5	5	0	0	0	0	0	0	0	0	borde un segundo y entrega con tiempo positivo sin reinicio	GO
O05_PIDFD	normal	testbin -test.run=^(TestBarreraO3bSinReferenciaFiableEsFatal|TestBarreraO3bRechazaCuartaReferenciaYRecursosCorruptos)$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	0	5	0	106	5	5	0	0	0	0	0	0	0	0	res referencias exactas; una perdida retira y ambas fatalizan	GO
O06_SIN_DUP	normal	testbin -test.run=^(TestBarreraO3bNoDuplicaPidfd)$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	0	5	0	107	5	5	0	0	0	0	0	0	0	0	cero F_DUPFD pidfd_open u os.NewFile pidfd	GO
O07_TRAMA	normal	testbin -test.run=^(TestTicketO3bByteExactoYUsoUnico|TestTicketO3bPreparacionCerrada)$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	0	5	0	906	5	5	0	0	0	0	0	0	0	0	PID_SUPERVISOR ticket LF byte exacto y escritor unico	GO
O08_PARCIALES	normal	testbin -test.run=^(TestTicketO3bEscrituraParcialYEINTRAcotado|TestTicketO3bFalloCierraUnaVezSinSegundaEmision|TestTicketO3bCierreFallidoNoSeReintenta)$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	0	5	0	405	5	5	0	0	0	0	0	0	0	0	parciales EINTR cero EPIPE y cierre convergen sin segunda emision	GO
O09_AUTO_STOP	normal	testbin -test.run=^(TestStopO3bAutoStopRealSinSenalGo|TestStopO3bMuestrasYPlazo)$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	0	5	0	205	5	5	0	0	0	0	0	0	0	0	T estable posterior al cierre sin STOP emitido por Go	GO
O10_PROC_STAT	normal	testbin -test.run=^(TestParsearStatO3bAcotadoYAdversarial|TestIdentidadO3bRechazaCampos)$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	0	5	0	105	5	5	0	0	0	0	0	0	0	0	comm adversarial limite 4096 cardinalidad signo cero overflow y campos exactos	GO
O11_SONDA_GRUPO	normal	testbin -test.run=^(TestStopO3bNegativosCeroTicket)$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	0	5	0	205	5	5	0	0	0	0	0	0	0	0	pidfd señal cero con flag de grupo y errores cerrados	GO
O12_PRECEDENCIAS	normal	testbin -test.run=^(TestBarreraO3bPrecedenciasYNegativos|TestBarreraO3bRelecturaFinalDetectaControl)$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	0	5	0	106	5	5	0	0	0	0	0	0	0	0	CONTROL señal bootstrap pidfd STOP identidad inventario en orden total	GO
O13_TERMINALIDAD	normal	testbin -test.run=^(TestIdentidadO3bExactaReal|TestIdentidadO3bRechazaCampos)$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	0	5	0	205	5	5	0	0	0	0	0	0	0	0	terminalidad o cambio durante dos T nunca entrega	GO
O14_RETIRADA	normal	testbin -test.run=^(TestTicketO3bFalloCierraUnaVezSinSegundaEmision|TestTicketO3bCierreFallidoNoSeReintenta)$ -test.count=1	f09d79b014abc432bd02d5ee8062286cbf9957d0a4e2df40f632624700526b4d	0	5	0	406	5	5	0	0	0	0	0	0	0	0	fallo post ticket no reemite y cierre no se reintenta	GO
