id	modo	comando	sha_target	estado	stdout_bytes	stderr_bytes	duracion_ms	fd_inicio	fd_fin	hijos_inicio	hijos_fin	zombis_inicio	zombis_fin	grupos_inicio	grupos_fin	temporales_inicio	temporales_fin	grupo_ejecucion_esrch	oraculo	resultado
C01_ENTRADA	normal	testbin -test.run=^(TestAutoridadO3cConsumoNominalAliasClonYReuso|TestAutoridadO3cNulosYB5ReadOnly|TestAutoridadO3cConsumeHandoffO3bReal)$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	0	5	0	209	6	6	0	0	0	0	0	0	0	0	si	B5 se consume una vez; alias clon reuso y nulos quedan cerrados	GO
C02_AGREGADO	normal	testbin -test.run=^(TestAutoridadO3cNulosYB5ReadOnly|TestAutoridadO3cRechazosFatales)$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	0	5	0	107	6	6	0	0	0	0	0	0	0	0	si	agregado incompleto y estados distintos fallan cerrados	GO
C03_SELLOS	normal	testbin -test.run=^(TestRevalidacionO3cCasosAislados)$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	0	5	0	2610	6	6	0	0	0	0	0	0	0	0	si	registro generacion TID PPID PDEATHSIG lease y observador exactos	GO
C04_CONTROL	normal	testbin -test.run=^(TestRevalidacionO3cCasosAislados|TestRevalidacionO3cPrecedenciaYAusenciaP3)$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	0	5	0	2717	6	6	0	0	0	0	0	0	0	0	si	CONTROL nominal y negativos dominan sin CONT	GO
C05_BOOTSTRAP	normal	testbin -test.run=^(TestRevalidacionO3cCasosAislados|TestRevalidacionO3cPrecedenciaYAusenciaP3)$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	0	5	0	2842	6	6	0	0	0	0	0	0	0	0	si	bootstrap monotono no se reinicia y vencido produce cero CONT	GO
C06_PIDFD	normal	testbin -test.run=^(TestRevalidacionO3cCasosAislados|TestRevalidacionO3cPrecedenciaYAusenciaP3)$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	0	5	0	2720	6	6	0	0	0	0	0	0	0	0	si	dos pidfd y handle opaco sin cuarta referencia	GO
C07_IDENTIDAD	normal	testbin -test.run=^(TestRevalidacionO3cCasosAislados)$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	0	5	0	2522	6	6	0	0	0	0	0	0	0	0	si	terminalidad e identidad proc adversa retiran sin CONT	GO
C08_LEASE	normal	testbin -test.run=^(TestRevalidacionO3cLeaseInacreditableEsFatal|TestRevalidacionO3cPrecedenciaYAusenciaP3)$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	0	5	0	206	6	6	0	0	0	0	0	0	0	0	si	cada syscall usa permiso separado y consolidacion inmediata	GO
C09_MARCA	normal	testbin -test.run=^(TestContO3cMarcaRechazaNoMonotonoYOverflow)$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	0	5	0	105	6	6	0	0	0	0	0	0	0	0	si	marca monotona unica exacta 180 segundos y overflow cerrado	GO
C10_ORDEN_CONT	normal	testbin -test.run=^(TestContO3cOrdenLiteralYAusenciaP4)$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	0	5	0	106	6	6	0	0	0	0	0	0	0	0	si	primer syscall tras marca es CONT sin intermedio	GO
C11_CONT_PIDFD	normal	testbin -test.run=^(TestContO3cCasosAislados|TestContO3cOrdenLiteralYAusenciaP4)$ -test.count=1	a26bda20e5ba7ad8f5015b54b491cd4ded0ed3b756e5efcfa7e86f61f382b9b1	0	5	0	507	6	6	0	0	0	0	0	0	0	0	si	SIGCONT de grupo por pidfd primario unico	GO
